ms de julho 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
despesas;observao;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
carto bradesco elo;dia 25 (deb. aut.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carto bradesco american;dia 25 (deb. aut.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
consorcio itau;10;;;;;;;;;;;r$ 462,24;;;;;;;;;;;;;;;;;;;;
grenke contrato ;dia 05 (10);;;;;r$ 2.420,10;;;;;;;;;;;;;;;;;;;;;;;;;;
grenke contrato ;dia 05 (10);;;;;r$ 147,50;;;;;;;;;;;;;;;;;;;;;;;;;;
credit plus;20;;;;;;;;;;;;;;;;;;;;;r$ 1.337,76;;;;;;;;;;
impostos ;;;;;;;;;;;;r$ 195,38;;;;;;;;;;;;;;;;;;;;
darf ;20, 24 e 30;;;;;;;;;;;;;;;;;;;;r$ 230,10;;;;;;;;r$ 8.686,96;;;
damsp;dia 10;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;
gps;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fgts ;7 new ;;;;;;;r$ 1.647,73;;;;;;;;;;;;;;;;;;;;;;;;
arrecadao receita federal;20;;;;;;;;;;;;;;;;;;;;r$ 1.771,21;;;;;;;;;;;
simples nacional;20;;;;;;;;;;;;;;;;;;;;r$ 8.486,64;;;;;;;;;;;
aluguel marco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lello ;10;;;;;;;;;;;r$ 1.254,50;;;;;;;;;;;;;;;;;;;;
unimed (samara / lorenzo);vencimento dia 10;;;;;;;;;;;r$ 616,88;;;;;;;;;;;;;;;;;;;;
odonto (metlife) ;vencimento dia 15;;;;;;;;;;;;;;;;;;r$ 88,52;;;;;;;;;;;;;
seguro (samara) ;29 (para junho 2023);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
escola (pedro);dia 08 c/ desconto;;;;;;;;r$ 1.047,59;;;;;;;;;;;;;;;;;;;;;;;
marco (true);25;;;;;;;;;;;;;;;;;;;;;;;;;r$ 12.739,38;;;;;;
marco (aluguel);20;;;;;;;;;;;;;;;;;;;;r$ 5.500,00;;;;;;;;;;;
imposto (ribeiro);11;;;;;;;;;;r$ 82,05;;;;;;;;;;;;;;;;;;;;;
condomnio camboriu ;vencimento dia 05 ;;;;;marco;;;;;;;;;;;;;;;;;;;;;;;;;;
escola (lorenzo);vencimento dia 05 ;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
odonto (pedro);10 (82,00) marco;;;;;;;;;;r$ 82,00;;;;;;;;;;;;;;;;;;;;;
convnio (pedro);vencimento dia 01;marco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
imposto (camboriu);11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vivo (toledo/samara);15;;;;;;;;;;;;;;;;;marco;;;;;;;;;;;;;;
