;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;expresso dalva eireli;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ctrc;numero ct-e;numero do formulario;data emissao;tipo;unidade;cnpj remetente;nome remetente;cnpj destinatario;nome destinatario;cnpj pagador; nome pagador;uf;cidade;vlr frete;vlr juro; vlr desconto;valor liqu;data liquid;unidade liqui;forma liqu;banco ag. conta;fatura;data credito caixa;vendedor;cidade destino;uf destino;login;cod mercadoria
2;gyn002564-0;1000002519;0;22/06/2023;fob;;37110836000159;bio dama.s comercio de cosmeticos eireli;31172253000176;jose maria pereira de matos 25899678615;31172253000176;jose maria pereira de matos b.;mg;unai;157,66;0;0;157,66;03/07/2023;mtz;prazo;0999 011111 111111111;;03/07/2023;;unai;mg;davi    ;1
2;gyn002603-4;1000002558;0;27/06/2023;fob;;97529779000179;marbrilho ind e com eireli;20157756000156;comercial de tintas patrocinio;20157756000156;comercial de tintas patroci a.;mg;patrocinio;160;0;8;152;03/07/2023;mtz;prazo;0999 011111 111111111;;03/07/2023;;patrocinio;mg;davi    ;1
2;gyn002618-2;1000002573;0;29/06/2023;fob;;22100536000111;ipanema comercio de alimentos ;00059286652615;ceni sebastiao vieira;00059286652615;ceni sebastiao vieira b.;mg;patos de minas;788,33;0;48,33;740;03/07/2023;cor;prazo;0104 001697 000000959;;03/07/2023;;patos de minas;mg;lilia   ;21
2;gys000648-3;0;0;29/06/2023;fob;;31307035000100;b j v atacado e varejo de alim;00059286652615;ceni sebastiao vieira;00059286652615;ceni sebastiao vieira b.;mg;patos de minas;160;0;0;160;03/07/2023;cor;prazo;0104 001697 000000959;;03/07/2023;;patos de minas;mg;lilia   ;21
2;spo082315-5;1000298592;0;24/03/2023;fob;;74581091000647;daxia doce aroma industria e c;24333411000329;scalon e cerchi ltda;14309089000187;gridlog transportes ltda b.;sp;guarulhos;205,6;0;0;205,6;03/07/2023;cor;banco;0104 001697 000000959;44036-1;03/07/2023;wanderle;sacramento;mg;lilia   ;1
2;spo085905-2;1000302181;0;04/05/2023;fob;;74581091000647;daxia doce aroma industria e c;24315928000123;nayara pereira do amaral me;24315928000123;nayara pereira do amaral me b.;mg;coromandel;130;0;0;130;03/07/2023;mtz;carteira;0999 011111 111111111;42740-3;03/07/2023;;coromandel;mg;lilia   ;1
2;spo086803-5;1000303072;0;16/05/2023;fob;;02074189000192;wamovale comercio e industria de moldes e plasticos  me;24315928000123;nayara pereira do amaral me;24315928000123;nayara pereira do amaral me b.;mg;coromandel;276,93;0;0;276,93;03/07/2023;mtz;carteira;0999 011111 111111111;44265-8;03/07/2023;;coromandel;mg;lilia   ;1
2;spo087998-3;1000304236;0;29/05/2023;cif;;12902777000120;distribuidora tropical aromas;20591349000152;estilo pisos e revest eireli epp;12902777000120;distribuidora tropical arom c.;sp;itaquaquecetuba;136,36;3,35;0;139,71;03/07/2023;mtz;banco;0136 005831 000077520;43700-0;04/07/2023;;uberlandia;mg;lilia   ;1
2;spo088018-3;1000304250;0;29/05/2023;fob;;60872306000836;sherwin-williams do brasil industria e comercio ltda.;22560247000103;aurelio rosa neto 00013030;22560247000103;aurelio rosa neto 00013030 c.;mg;coromandel;219,41;0;0;219,41;03/07/2023;mtz;banco;0136 005831 000077520;43633-0;04/07/2023;;coromandel;mg;lilia   ;1
2;spo088120-1;1000304375;0;30/05/2023;fob;;49965844000166;lider acessorios industriais ltda;03721769000600;masterboi ltda;03721769000600;masterboi ltda a.;to;nova olinda;170;0;0;170;03/07/2023;mtz;banco;0136 005831 000077520;44058-2;04/07/2023;max     ;nova olinda;to;lilia   ;1
2;spo088121-0;1000304362;0;30/05/2023;fob;;13062752000129;bandpack comercial de plasticos ltda;03721769000600;masterboi ltda;03721769000600;masterboi ltda a.;to;nova olinda;180,01;0;0;180,01;03/07/2023;mtz;banco;0136 005831 000077520;44057-4;04/07/2023;max     ;nova olinda;to;lilia   ;1
2;spo088146-5;1000304396;0;30/05/2023;cif;;01154956001859;bela tintas ltda;54360623004434;viacao piracicabana s.a. 22011543;01154956001859;bela tintas ltda b.;sp;sao bernardo do campo;258,06;0;0;258,06;03/07/2023;mtz;banco;0136 005831 000077520;44275-5;04/07/2023;wanderle;brasilia;df;lilia   ;1
2;spo088238-1;1000304516;0;31/05/2023;cif;;36327075000129;fortclean comercio de equipame;25223850000180;prefeitura de urucuia;14309089000187;gridlog transportes ltda b.;sp;guarulhos;92;0;0;92;03/07/2023;cor;banco;0104 001697 000000959;44036-1;03/07/2023;wanderle;urucuia;mg;lilia   ;1
2;spo088251-8;1000304504;0;31/05/2023;fob;;46537536000141;jarvis do brasil ferramentas industriais ltda;03721769000600;masterboi ltda;03721769000600;masterboi ltda a.;to;nova olinda;220;0;0;220;03/07/2023;mtz;banco;0136 005831 000077520;44059-1;04/07/2023;max     ;nova olinda;to;lilia   ;1
2;spo088345-0;1000304560;0;31/05/2023;cif;;01154956001859;bela tintas ltda;54360623004434;viacao piracicabana s.a. 22011543;01154956001859;bela tintas ltda b.;sp;sao bernardo do campo;258,06;0;0;258,06;03/07/2023;mtz;banco;0136 005831 000077520;44275-5;04/07/2023;wanderle;brasilia;df;lilia   ;1
2;spo088381-6;1000304637;0;31/05/2023;fob;;60561719009775;akzo nobel ltda;03043678000140;parex industria mecanica, cald;03043678000140;parex industria mecanica, c a.;mg;vazante;2.288,75;0;0;2.288,75;03/07/2023;mtz;banco;0136 005831 000077520;43930-4;04/07/2023;;vazante;mg;lilia   ;259
2;spo088394-8;1000304665;0;01/06/2023;cif;;74581091000647;daxia doce aroma industria e c;06067949000357;suinco cooperativa de suinocul;14309089000187;gridlog transportes ltda b.;sp;guarulhos;1.440,00;0;0;1.440,00;03/07/2023;cor;banco;0104 001697 000000959;44036-1;03/07/2023;wanderle;patos de minas;mg;lilia   ;1
2;spo088496-1;1000304745;0;01/06/2023;fob;;12481478000160;pegasus distrib artigos p/ festas eireli;40568337000114;cleuma amaral da rocha goncalves 11636986609;40568337000114;cleuma amaral da rocha gonc ..;mg;buritis;280;0;0;280;03/07/2023;cor;banco;0104 001697 000000959;43955-0;03/07/2023;;buritis;mg;lilia   ;1
2;spo088610-6;1000304860;0;02/06/2023;fob;;03786009000168;imperio dos metais comercial e;11911136000170;ferragista santa luzia ltda;11911136000170;ferragista santa luzia ltda c.;mg;ituiutaba;1.100,00;0;0;1.100,00;03/07/2023;mtz;banco;0136 005831 000077520;44247-0;04/07/2023;;ituiutaba;mg;lilia   ;1
2;spo088824-9;1000305069;0;06/06/2023;fob;;43024991000155;f.confuorto ind. com. pecas aces. ltda;18979112000100;adalberto goncalves coelho;18979112000100;adalberto goncalves coelho c.;mg;unai;613,25;14,31;0;627,56;03/07/2023;mtz;banco;0136 005831 000077520;44127-9;04/07/2023;;unai;mg;lilia   ;1
2;spo088846-0;1000305132;0;07/06/2023;fob;;44032082000121;distrivac distribuidora de emb;46994972000140;liderpack embalagens ltda;46994972000140;liderpack embalagens ltda c.;mg;araxa;234,27;0;0;234,27;03/07/2023;mtz;banco;0136 005831 000077520;44253-4;04/07/2023;;araxa;mg;lilia   ;1
2;spo088893-1;1000305142;0;07/06/2023;fob;;00604905000170;mubec industria e comercio ltda;11911136000170;ferragista santa luzia ltda;11911136000170;ferragista santa luzia ltda c.;mg;ituiutaba;1.081,24;0;0;1.081,24;03/07/2023;mtz;banco;0136 005831 000077520;44247-0;04/07/2023;;ituiutaba;mg;lilia   ;21
2;spo088927-0;1000305178;0;07/06/2023;cif;;74586124000137;cap-lab industria e comercio l;60409075004905;nestle brasil ltda;74586124000137;cap-lab industria e comerci ..;sp;sao paulo;200;0;0;200;03/07/2023;mtz;banco;0136 005831 000077520;44255-1;04/07/2023;;ituiutaba;mg;lilia   ;1
2;spo088962-8;1000305212;0;07/06/2023;fob;;40478647000148;laredos pecas de refrigeracao ltda me;71419824000149;eduardo cesar da rocha me;71419824000149;eduardo cesar da rocha me b.;mg;paracatu;350;0;0;350;03/07/2023;mtz;banco;0136 005831 000077520;44155-4;04/07/2023;;paracatu;mg;lilia   ;1
2;spo089001-4;1000305260;0;09/06/2023;fob;;19312513000166;inove comercio de embalagens ltda - me;20649580000150;carolina de campos lucas - me;20649580000150;carolina de campos lucas -  b.;mg;unai;159,09;0;0;159,09;03/07/2023;mtz;banco;0136 005831 000077520;44331-0;04/07/2023;;unai;mg;lilia   ;1
2;spo089028-6;1000305310;0;09/06/2023;fob;;70939574000296;fabrica de artef.de latex sao roque ltda;20649580000150;carolina de campos lucas - me;20649580000150;carolina de campos lucas -  b.;mg;unai;413,4;0;0;413,4;03/07/2023;mtz;banco;0136 005831 000077520;44331-0;04/07/2023;;unai;mg;lilia   ;1
2;spo089029-4;1000305294;0;09/06/2023;fob;;09562226000150;roberlo do brasil ind. com. distr. de produtos quimicos ltda;15449522000142;a casa do pintor de paracatu l;15449522000142;a casa do pintor de paracat a.;mg;paracatu;378,41;0;0;378,41;03/07/2023;mtz;banco;0136 005831 000077520;44357-3;04/07/2023;;paracatu;mg;lilia   ;21
2;spo089061-8;1000305322;0;09/06/2023;fob;;68146810000194;s.prochownik comercial ltda;10297986000167;tecidos uniao ltda;10297986000167;tecidos uniao ltda c.;mg;unai;230;0;0;230;03/07/2023;mtz;banco;0136 005831 000077520;44352-2;04/07/2023;;unai;mg;lilia   ;1
2;spo089085-5;1000305338;0;09/06/2023;fob;;60869468000300;sultan ind e com de artefatos;03096220000159;robson soares da silva;03096220000159;robson soares da silva ..;mg;unai;1.475,67;0;0;1.475,67;03/07/2023;mtz;banco;0136 005831 000077520;44345-0;04/07/2023;;unai;mg;lilia   ;22
2;spo089088-0;1000305353;0;09/06/2023;fob;;23877682000110;iber comercio de resistencias;13053396000187;braga forro ind e com de pvc;13053396000187;braga forro ind e com de pv b.;mg;bonfinopolis de minas;150;0;0;150;03/07/2023;mtz;banco;0136 005831 000077520;44391-3;04/07/2023;;bonfinopolis de minas;mg;lilia   ;1
2;spo089092-8;1000305336;0;09/06/2023;fob;;09520471000103;ipc brasil importadora de produtos certificados ltda;13513336000108;l d mat constr ltda me;13513336000108;l d mat constr ltda me ..;mg;joao pinheiro;150;0;0;150;03/07/2023;mtz;banco;0136 005831 000077520;44397-2;04/07/2023;;joao pinheiro;mg;lilia   ;1
2;spo089096-1;1000305345;0;09/06/2023;fob;;04182250000140;viana metais perfurados e telas ltda;11911136000170;ferragista santa luzia ltda;11911136000170;ferragista santa luzia ltda c.;mg;ituiutaba;272,73;0;0;272,73;03/07/2023;mtz;banco;0136 005831 000077520;44247-0;04/07/2023;;ituiutaba;mg;lilia   ;1
2;spo089106-1;1000305358;0;09/06/2023;fob;;75483040000211;metalbo industria de fixadores metalicos ltda;08794082000103;so pivo ltda;08794082000103;so pivo ltda ..;mg;unai;585;0;0;585;03/07/2023;mtz;banco;0136 005831 000077520;44348-4;04/07/2023;;unai;mg;lilia   ;1
2;spo089109-6;1000305388;0;12/06/2023;fob;;21923232000191;industria e distribuidora roseflex eireli - me;01621913000198;iara martins ferreira e cia lt;01621913000198;iara martins ferreira e cia b.;mg;paracatu;154,1;0;0;154,1;03/07/2023;mtz;banco;0136 005831 000077520;44371-9;04/07/2023;;paracatu;mg;lilia   ;1
2;spo089131-2;1000305398;0;12/06/2023;fob;;91404251000197;plaxmetal s/a - ind. de cad. c;00424287000187;office hall ltda epp;00424287000187;office hall ltda epp c.;mg;uberlandia;150;3,3;0;153,3;03/07/2023;mtz;banco;0136 005831 000077520;44223-2;04/07/2023;;uberlandia;mg;lilia   ;1
2;spo089162-2;1000305421;0;12/06/2023;fob;;26910577000124;marchetti atacadista de autope;41836180000123;auto pcs silva santos ltda;41836180000123;auto pcs silva santos ltda ..;mg;joao pinheiro;470,45;0;0;470,45;03/07/2023;mtz;banco;0136 005831 000077520;44388-3;04/07/2023;;joao pinheiro;mg;lilia   ;21
2;spo089164-9;1000305415;0;12/06/2023;fob;;27544383000115;mfx nautica comercio de produtos nauticos eireli;11372013000108;carla teresinha silva 07604555624;11372013000108;carla teresinha silva 07604 c.;mg;paracatu;159,09;0;0;159,09;03/07/2023;mtz;banco;0136 005831 000077520;44364-6;04/07/2023;;paracatu;mg;lilia   ;1
2;spo089165-7;1000305405;0;12/06/2023;fob;;11686384000164;dg - comercio de helices e acessorios ltda - me;11372013000108;carla teresinha silva 07604555624;11372013000108;carla teresinha silva 07604 c.;mg;paracatu;159,09;0;0;159,09;03/07/2023;mtz;banco;0136 005831 000077520;44364-6;04/07/2023;;paracatu;mg;lilia   ;1
2;spo089194-1;1000305432;0;12/06/2023;fob;;30710499000191;rvm paper importacao e expacao eireli;26110916000198;casa do estudante papelaria e livraria eireli - me;26110916000198;casa do estudante papelaria b3;mg;coromandel;373,06;8,21;0;381,27;03/07/2023;mtz;banco;0136 005831 000077520;44227-5;04/07/2023;;coromandel;mg;lilia   ;1
2;spo089197-5;1000305436;0;12/06/2023;fob;;72770878000117;brasilux tintas tecnicas ltda;17821109000192;industria e carpintaria lider ltda me;17821109000192;industria e carpintaria lid c.;mg;ituiutaba;282,7;0;0;282,7;03/07/2023;mtz;banco;0136 005831 000077520;44250-0;04/07/2023;;ituiutaba;mg;lilia   ;1
2;spo089239-4;1000305468;0;13/06/2023;fob;;19731267000187;gate 72 comercial import e exp;26110916000198;casa do estudante papelaria e livraria eireli - me;26110916000198;casa do estudante papelaria b3;mg;coromandel;402,78;0;0;402,78;03/07/2023;mtz;banco;0136 005831 000077520;44242-9;04/07/2023;;coromandel;mg;lilia   ;21
2;spo089243-2;1000305477;0;13/06/2023;fob;;32761086000161;yasmine modas comercio de roupas eireli;11474689000102;tendencia modas unai ltda;11474689000102;tendencia modas unai ltda b.;mg;unai;415;0;0;415;03/07/2023;mtz;banco;0136 005831 000077520;44351-4;04/07/2023;;unai;mg;lilia   ;1
2;spo089265-3;1000305502;0;13/06/2023;fob;;25249300000210;lm com. de mat para encadernacao ltda;26110916000198;casa do estudante papelaria e livraria eireli - me;26110916000198;casa do estudante papelaria b3;mg;coromandel;272,73;0;0;272,73;03/07/2023;mtz;banco;0136 005831 000077520;44242-9;04/07/2023;;monte carmelo;mg;lilia   ;1
2;spo089266-1;1000305522;0;13/06/2023;fob;;03692395000129;artflexiveis ltda;37552537000174;bonata industria e comercio de;37552537000174;bonata industria e comercio c.;mg;coromandel;630;0;0;630;03/07/2023;mtz;banco;0136 005831 000077520;44240-2;04/07/2023;;coromandel;mg;lilia   ;1
2;spo089274-2;1000305536;0;13/06/2023;fob;;48235964000145;brastampas ind. e com. de embalagens ltda.;24315928000123;nayara pereira do amaral me;24315928000123;nayara pereira do amaral me b.;mg;coromandel;223,66;0;0;223,66;03/07/2023;mtz;carteira;0999 011111 111111111;44265-8;03/07/2023;;coromandel;mg;lilia   ;1
2;spo089360-9;1000305618;0;14/06/2023;fob;;78811395000108;fundicao mademil ltda;25785288000188;maqpecas ltda me;25785288000188;maqpecas ltda me b.;mg;carmo do paranaiba;245;0;0;245;03/07/2023;mtz;banco;0136 005831 000077520;44425-1;04/07/2023;;carmo do paranaiba;mg;lilia   ;1
2;spo089381-1;1000305642;0;14/06/2023;cif;;00570834000132;plasticos mb ltda;39838732000190;santos e pereira comercio de embalagens ltda;00570834000132;plasticos mb ltda c.;sp;pedreira;290,91;0;0;290,91;03/07/2023;mtz;banco;0136 005831 000077520;44258-5;04/07/2023;;buritis;mg;lilia   ;22
2;spo089394-3;1000305655;0;14/06/2023;fob;;08953633000126;com.fartex imp.e exp.de art.p/pres.ltda;32848032000138;jordana caxeta da silva;32848032000138;jordana caxeta da silva b.;mg;vazante;300;0;0;300;03/07/2023;mtz;banco;0136 005831 000077520;44316-6;04/07/2023;;vazante;mg;lilia   ;21
2;spo089407-9;1000305648;0;14/06/2023;fob;;49465446000180;geomaq tratorpecas ltda;10522958000104;carlos ernane da silva - s. agrocampo me;10522958000104;carlos ernane da silva - s. c.;mg;coromandel;150;0;0;150;03/07/2023;mtz;banco;0136 005831 000077520;44241-1;04/07/2023;;coromandel;mg;lilia   ;1
2;spo089409-5;1000305658;0;14/06/2023;fob;;44296659000102;m comercio atacadista e varejista de mercadorias ltda;14911240000152;sabino e silva ltda me;14911240000152;sabino e silva ltda me c.;mg;unai;596,59;0;0;596,59;03/07/2023;mtz;banco;0136 005831 000077520;44346-8;04/07/2023;;unai;mg;lilia   ;1
2;spo089412-5;1000305660;0;14/06/2023;fob;;30727130000191;leampc aviamentos ltda;25242447000106;jose lucio trajano;25242447000106;jose lucio trajano b.;mg;joao pinheiro;236,63;0;0;236,63;03/07/2023;mtz;banco;0136 005831 000077520;44373-5;04/07/2023;;joao pinheiro;mg;lilia   ;1
2;spo089414-1;1000305662;0;14/06/2023;fob;;49465446000180;geomaq tratorpecas ltda;00019178468604;walterson pereira;00019178468604;walterson pereira ..;mg;coromandel;190;0;0;190;03/07/2023;mtz;banco;0136 005831 000077520;44245-3;04/07/2023;;coromandel;mg;lilia   ;1
2;spo089415-0;1000305661;0;14/06/2023;fob;;65965154000163;sevilha pecas para tratores ltda.;00019178468604;walterson pereira;00019178468604;walterson pereira ..;mg;coromandel;150;0;0;150;03/07/2023;mtz;banco;0136 005831 000077520;44245-3;04/07/2023;;coromandel;mg;lilia   ;1
2;spo089448-6;1000305677;0;15/06/2023;fob;;54469523000100;resol produtos quimicos ltda;41693235000193;central ferragens e m. p/ const.ltda epp;41693235000193;central ferragens e m. p/ c b.;mg;unai;663,25;0;0;663,25;03/07/2023;mtz;banco;0136 005831 000077520;44328-0;04/07/2023;;unai;mg;lilia   ;21
2;spo089455-9;1000305692;0;15/06/2023;fob;;14807945000477;sansuy s/a  industria de plasticos;12501982000184;marcelo moreira de sousa;12501982000184;marcelo moreira de sousa b.;mg;paracatu;586,11;0;38,49;547,62;03/07/2023;mtz;prazo;0999 011111 111111111;;03/07/2023;;paracatu;mg;davi    ;1
2;spo089527-0;1000305772;0;15/06/2023;fob;;68216860000109;ciranda cultural editora e distribuidora ltda.;32848032000138;jordana caxeta da silva;32848032000138;jordana caxeta da silva b.;mg;vazante;159,09;0;0;159,09;03/07/2023;mtz;banco;0136 005831 000077520;44404-9;04/07/2023;;vazante;mg;lilia   ;1
2;spo089530-0;1000305777;0;15/06/2023;fob;;07311332000306;de la cruz do brasil comercio de ferramentas eirel;07214345000197;cirene carmem nogueira silva;07214345000197;cirene carmem nogueira silv c.;mg;ituiutaba;200;0;0;200;03/07/2023;mtz;banco;0136 005831 000077520;44515-1;04/07/2023;;ituiutaba;mg;lilia   ;1
2;spo089533-4;1000305780;0;15/06/2023;fob;;43764615000105;comercial fishtex artigos esportivos e pesca ltda.;11372013000108;carla teresinha silva 07604555624;11372013000108;carla teresinha silva 07604 c.;mg;paracatu;159,09;0;0;159,09;03/07/2023;mtz;banco;0136 005831 000077520;44490-1;04/07/2023;;paracatu;mg;lilia   ;1
2;spo089589-0;1000305841;0;16/06/2023;fob;;27611705000282;golden rio importacao e exportacao de produtos manufaturados;32848032000138;jordana caxeta da silva;32848032000138;jordana caxeta da silva b.;mg;vazante;407,94;0;0;407,94;03/07/2023;mtz;banco;0136 005831 000077520;44404-9;04/07/2023;;vazante;mg;lilia   ;1
2;spo089624-1;1000305875;0;16/06/2023;fob;;16620414000153;joao batista terra me;25785288000188;maqpecas ltda me;25785288000188;maqpecas ltda me b.;mg;carmo do paranaiba;1.300,00;0;0;1.300,00;03/07/2023;mtz;banco;0136 005831 000077520;44425-1;04/07/2023;;carmo do paranaiba;mg;lilia   ;1
2;spo089686-1;1000305934;0;19/06/2023;fob;;02639570000151;solpack ltda;16907194000143;borba e bontempo ltda - me;16907194000143;borba e bontempo ltda - me ..;mg;patos de minas;385;0;0;385;03/07/2023;mtz;banco;0136 005831 000077520;44554-1;04/07/2023;;patos de minas;mg;lilia   ;1
2;spo089699-3;1000305932;0;19/06/2023;fob;;60872306000836;sherwin-williams do brasil industria e comercio ltda.;86384534000184;jorge matos da silva-cpf 82191;86384534000184;jorge matos da silva-cpf 82 b.;mg;arinos;390,6;0;27,6;363;03/07/2023;mtz;prazo;0999 011111 111111111;;03/07/2023;;arinos;mg;davi    ;1
2;spo089732-9;1000305987;0;19/06/2023;fob;;61522173000598;rosset e cia ltda;06279109000196;don juan industria e comercio de confeccoes eireli;06279109000196;don juan industria e comerc c.;go;pontalina;944,83;0;0;944,83;03/07/2023;mtz;banco;0136 005831 000077520;44808-7;04/07/2023;max     ;pontalina;go;lilia   ;1
2;spo089790-6;1000306026;0;20/06/2023;fob;;04155026000674;sofape fabricante de filtros ltda.;00808242000106;irmaos konishi comercio de lub;00808242000106;irmaos konishi comercio de  b.;mg;paracatu;1.208,07;0;76,3;1.131,77;03/07/2023;mtz;prazo;0999 011111 111111111;;03/07/2023;;paracatu;mg;davi    ;21
2;spo089834-1;1000306093;0;20/06/2023;fob;;06260884000108;betalub lubrificantes ltda;00808242000106;irmaos konishi comercio de lub;00808242000106;irmaos konishi comercio de  b.;mg;paracatu;159,09;0;0;159,09;03/07/2023;mtz;prazo;0999 011111 111111111;;03/07/2023;;paracatu;mg;davi    ;1
