posto portal da bahia 1 eireli                                                                                                                 04/03/2024 10:00
---------------------------------------------------------------------------------------------------------------------------------------------------------------

                                                                         contas pagas
                                                                 empresa: 1 - portal da bahia
                                                                conta: 2.1.1 - contas a pagar
                                                               período: 01/03/2024 a 31/03/2024
                                                                     agrupar: não agrupar


+------------+-----------+------------+--------------------+----------+--------------------+---------------+------------+----------+----------+---------------+
| pagamento  | documento | vencimento |     fornecedor     | c. part. |     observação     | valor título  |  desconto  |  multa   |  juros   |   valor pago  |
| 04/03/2024 |  017980-9 | 07/02/2024 | fornecedor não inf | 1.2      | fgts               |      3.250,00 |       0,00 |     0,00 |     0,00 |      3.250,00 |
| 04/03/2024 |   34641   | 08/02/2024 | fornecedor não inf | 1.2      | 3m                 |      3.695,00 |       0,00 |     0,00 |     0,00 |      3.695,00 |
| 04/03/2024 |    123    | 09/02/2024 | fornecedor não inf | 1.2      | val xuxa           |        490,00 |       0,00 |     0,00 |     0,00 |        490,00 |
| 04/03/2024 | 906753765 | 09/02/2024 | fornecedor não inf | 1.2      | randon             |      3.061,90 |       0,00 |     0,00 |     0,00 |      3.061,90 |
| 04/03/2024 |   21307   | 09/02/2024 | fornecedor não inf | 1.2      | icms               |     10.711,83 |       0,00 |     0,00 |     0,00 |     10.711,83 |
| 04/03/2024 |  28605-1  | 09/02/2024 | fornecedor não inf | 1.2      | redux              |      7.600,00 |       0,00 |     0,00 |     0,00 |      7.600,00 |
| 04/03/2024 |  6372-02  | 09/02/2024 | fornecedor não inf | 1.2      | central            |        403,50 |       0,00 |     0,00 |     0,00 |        403,50 |
| 04/03/2024 |  4205963  | 10/02/2024 | fornecedor não inf | 1.2      | embasa             |      1.325,47 |       0,00 |     0,00 |     0,00 |      1.325,47 |
| 04/03/2024 |  -457075a | 10/02/2024 | fornecedor não inf | 1.2      | larco              |    318.800,00 |       0,00 |     0,00 |     0,00 |    318.800,00 |
| 04/03/2024 | pi5d40-09 | 10/02/2024 | fornecedor não inf | 1.2      | eliara             |         89,00 |       0,00 |     0,00 |     0,00 |         89,00 |
